Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
891205;Task-269;POLICY3_CLOUD;TASK_CANCELED;132622;2484324;5462;618443;2218338
892253;Task-356;POLICY3_CLOUD;TASK_CONCLUDED;91206;2150355;6585;535305;1901627
892947;Task-272;POLICY3_CLOUD;TASK_CONCLUDED;104821;2471350;7568;615213;2185493
893170;Task-195;POLICY3_CLOUD;TASK_CONCLUDED;117600;2772626;8491;690212;2451922
893752;Task-241;POLICY3_CLOUD;TASK_CONCLUDED;109890;2590860;7934;644964;2291180
893792;Task-471;POLICY3_CLOUD;TASK_CONCLUDED;71396;1683326;5154;419044;1488618
894991;Task-403;POLICY3_CLOUD;TASK_CONCLUDED;83028;1957549;5994;487309;1731122
895126;Task-265;POLICY3_CLOUD;TASK_CONCLUDED;106436;2509414;7684;624689;2219155
898002;Task-363;POLICY3_CLOUD;TASK_CONCLUDED;90576;2135520;6539;531612;1888507
898272;Task-157;POLICY3_CLOUD;TASK_CONCLUDED;125622;2961760;9070;737295;2619179
901954;Task-396;POLICY3_CLOUD;TASK_CONCLUDED;85319;2011560;6160;500754;1778886
902080;Task-314;POLICY3_CLOUD;TASK_CONCLUDED;99653;2349502;7195;584881;2077740
905611;Task-456;POLICY3_CLOUD;TASK_CONCLUDED;76622;1806539;5532;449716;1597579
906183;Task-111;POLICY3_CLOUD;TASK_CONCLUDED;134277;3165810;9695;788091;2799627
906294;Task-452;POLICY3_CLOUD;TASK_CONCLUDED;77086;1817477;5565;452439;1607251
910382;Task-472;POLICY3_CLOUD;TASK_CONCLUDED;74092;1746888;5349;434867;1544827
911068;Task-372;POLICY3_CLOUD;TASK_CONCLUDED;91039;2146433;6573;534329;1898159
911280;Task-330;POLICY3_CLOUD;TASK_CONCLUDED;98077;2312348;7081;575632;2044883
911464;Task-486;POLICY3_CLOUD;TASK_CONCLUDED;71865;1694378;5188;421795;1498391
911939;Task-163;POLICY3_CLOUD;TASK_CONCLUDED;126586;2984472;9139;742949;2639264
912525;Task-307;POLICY3_CLOUD;TASK_CONCLUDED;102147;2408311;7375;599520;2129745
913514;Task-205;POLICY3_CLOUD;TASK_CONCLUDED;119422;2815581;8622;700906;2489908
914991;Task-328;POLICY3_CLOUD;TASK_CONCLUDED;98754;2328302;7130;579603;2058991
915596;Task-124;POLICY3_CLOUD;TASK_CONCLUDED;133737;3153075;9656;784921;2788365
